RENAISSANCE AI FUND - INVESTABLE UNIVERSE,,,,,
Companies that generate real free cash flow in growing markets,,,,,
,,,,,
Tier,Ticker,Company,Sector,2024 FCF ($B),Why Investable
KING,TJX,TJX Companies,Retail,4.5,Off-price retail leader
KING,NKE,Nike Inc,Consumer,4.8,Athletic brand leader
KING,SBUX,Starbucks,Consumer,3.2,Global coffee brand
KING,PFE,Pfizer Inc,Healthcare,8.5,"Big pharma, diversified"
KING,MRK,Merck & Co,Healthcare,12.8,Keytruda franchise
KING,ABBV,AbbVie Inc,Healthcare,22.3,Immunology + aesthetics
KING,BMY,Bristol-Myers Squibb,Healthcare,13.5,Oncology pipeline
KING,AMGN,Amgen Inc,Healthcare,10.8,"Biotech leader, obesity drug"
KING,GILD,Gilead Sciences,Healthcare,7.8,"HIV franchise, oncology"
KING,DHR,Danaher Corp,Healthcare,6.2,Life sciences tools
KING,ISRG,Intuitive Surgical,Healthcare,2.1,Surgical robotics monopoly
KING,SYK,Stryker Corp,Healthcare,3.2,MedTech leader
KING,MDT,Medtronic,Healthcare,5.5,MedTech diversified
KING,VRTX,Vertex Pharma,Healthcare,4.2,"CF monopoly, pipeline"
KING,REGN,Regeneron,Healthcare,5.5,"Eylea, Dupixent"
KING,BAC,Bank of America,Financials,8.5,"Scale bank, Buffett holding"
KING,WFC,Wells Fargo,Financials,5.2,"Turnaround, rate benefit"
KING,GS,Goldman Sachs,Financials,6.8,Investment banking leader
KING,MS,Morgan Stanley,Financials,5.5,Wealth management pivot
KING,SCHW,Charles Schwab,Financials,4.5,Discount brokerage leader
KING,BLK,BlackRock,Financials,5.2,Asset management leader
KING,SPGI,S&P Global,Financials,4.8,Ratings + data duopoly
KING,MCO,Moody's Corp,Financials,2.5,Ratings duopoly
KING,ICE,Intercontinental Exchange,Financials,3.2,Exchange/data infrastructure
KING,CME,CME Group,Financials,3.5,Derivatives exchange
KING,AON,Aon plc,Insurance,2.8,Insurance broker #2
KING,MMC,Marsh McLennan,Insurance,3.5,Insurance broker #1
QUEEN,AXP,American Express,Financials,8.2,Premium card network
QUEEN,COF,Capital One,Financials,4.5,Credit card + banking
QUEEN,USB,U.S. Bancorp,Financials,3.5,Regional bank leader
QUEEN,PNC,PNC Financial,Financials,4.2,Regional bank leader
QUEEN,TRV,Travelers,Insurance,3.8,P&C insurance leader
QUEEN,CB,Chubb Ltd,Insurance,5.5,Global P&C leader
QUEEN,AIG,American Intl Group,Insurance,2.5,P&C turnaround
QUEEN,MET,MetLife,Insurance,3.2,Life insurance leader
QUEEN,PRU,Prudential Financial,Insurance,2.8,Life/retirement
QUEEN,AFL,Aflac Inc,Insurance,2.5,Supplemental insurance
QUEEN,UNP,Union Pacific,Industrials,6.8,Railroad duopoly
QUEEN,CSX,CSX Corp,Industrials,3.5,Eastern railroad
QUEEN,NSC,Norfolk Southern,Industrials,2.8,Eastern railroad
QUEEN,CAT,Caterpillar,Industrials,10.8,Heavy equipment leader
QUEEN,DE,Deere & Company,Industrials,6.5,Ag equipment leader
QUEEN,HON,Honeywell,Industrials,5.5,Diversified industrial
QUEEN,RTX,RTX Corp,Industrials,5.2,Aerospace/defense
QUEEN,LMT,Lockheed Martin,Industrials,6.2,Defense prime
QUEEN,GE,GE Aerospace,Industrials,5.8,Aviation engines
QUEEN,GD,General Dynamics,Industrials,3.5,Defense diversified
QUEEN,NOC,Northrop Grumman,Industrials,2.8,Defense prime
QUEEN,LHX,L3Harris Tech,Industrials,2.2,Defense electronics
QUEEN,UBER,Uber Technologies,Technology,6.9,Mobility platform
QUEEN,ABNB,Airbnb Inc,Technology,4.5,Travel platform
QUEEN,BKNG,Booking Holdings,Technology,7.2,Online travel leader
QUEEN,WDAY,Workday Inc,Software,1.8,HCM/Finance SaaS
QUEEN,PANW,Palo Alto Networks,Software,2.5,Cybersecurity leader
QUEEN,SNPS,Synopsys Inc,Software,1.8,EDA software leader
QUEEN,CDNS,Cadence Design,Software,1.5,EDA software leader
QUEEN,ADSK,Autodesk Inc,Software,1.5,CAD software leader
QUEEN,MRVL,Marvell Technology,Semiconductors,1.2,Data center chips
QUEEN,MU,Micron Technology,Semiconductors,3.5,Memory leader
QUEEN,NXPI,NXP Semiconductors,Semiconductors,2.5,Auto/IoT chips
QUEEN,ADI,Analog Devices,Semiconductors,3.8,Analog/mixed signal
QUEEN,ON,ON Semiconductor,Semiconductors,1.8,Auto/industrial chips
JACK,ZTS,Zoetis Inc,Healthcare,2.5,Animal health leader
JACK,EL,Estee Lauder,Consumer,1.5,Prestige beauty leader
JACK,CL,Colgate-Palmolive,Consumer Staples,3.2,Oral care leader
JACK,GIS,General Mills,Consumer Staples,2.8,Packaged food leader
JACK,K,Kellanova,Consumer Staples,1.5,Snacks focused
JACK,HSY,Hershey Company,Consumer Staples,1.8,Confectionery leader
JACK,MDLZ,Mondelez Intl,Consumer Staples,3.5,Global snacks
JACK,SJM,JM Smucker,Consumer Staples,1.2,Coffee/pet food
JACK,CLX,Clorox Company,Consumer Staples,0.8,Cleaning products
JACK,KMB,Kimberly-Clark,Consumer Staples,2.5,Personal care
JACK,EW,Edwards Lifesciences,Healthcare,1.2,Heart valves leader
JACK,BSX,Boston Scientific,Healthcare,2.2,MedTech diversified
JACK,GEHC,GE HealthCare,Healthcare,1.8,Imaging equipment
JACK,A,Agilent Technologies,Healthcare,1.5,Life sciences tools
JACK,ILMN,Illumina Inc,Healthcare,0.5,Genomics sequencing
JACK,IQV,IQVIA Holdings,Healthcare,1.8,Clinical research
JACK,WAT,Waters Corp,Healthcare,0.6,Analytical instruments
JACK,MTD,Mettler-Toledo,Healthcare,0.8,Precision instruments
JACK,ECL,Ecolab Inc,Industrials,1.8,Water/hygiene leader
JACK,SHW,Sherwin-Williams,Industrials,2.5,Paint leader
JACK,APD,Air Products,Industrials,2.8,Industrial gases
JACK,LIN,Linde plc,Industrials,6.5,Industrial gases leader
JACK,ITW,Illinois Tool Works,Industrials,2.8,Diversified manufacturing
JACK,EMR,Emerson Electric,Industrials,2.5,Automation leader
JACK,ROK,Rockwell Automation,Industrials,1.2,Factory automation
JACK,ETN,Eaton Corp,Industrials,3.2,Power management
JACK,PH,Parker Hannifin,Industrials,2.2,Motion control
JACK,AME,AMETEK Inc,Industrials,1.5,Electronic instruments
JACK,FTV,Fortive Corp,Industrials,1.2,Industrial tech
JACK,VRSK,Verisk Analytics,Technology,1.2,Insurance analytics
JACK,CPRT,Copart Inc,Industrials,1.5,Auto auctions
JACK,FAST,Fastenal Company,Industrials,0.8,Industrial distribution
JACK,GWW,W.W. Grainger,Industrials,1.5,MRO distribution
JACK,WST,West Pharma Services,Healthcare,0.8,Drug delivery
JACK,IDXX,IDEXX Laboratories,Healthcare,0.6,Veterinary diagnostics
JACK,BIO,Bio-Rad Labs,Healthcare,0.4,Life sciences research
JACK,RVTY,Revvity Inc,Healthcare,0.5,Diagnostics/life sciences
JACK,TYL,Tyler Technologies,Software,0.4,Government software
JACK,PAYC,Paycom Software,Software,0.3,HCM software
JACK,PAYX,Paychex Inc,Software,1.5,Payroll services
JACK,ADP,Automatic Data,Software,3.5,HR/payroll leader
JACK,FI,Fiserv Inc,Fintech,4.5,Payment processing
JACK,FIS,Fidelity National,Fintech,3.8,Banking technology
JACK,GPN,Global Payments,Fintech,2.5,Payment processing
